title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"A survey on urban traffic control under mixed traffic environment with connected automated vehicles",2023,"Transportation Research Part C","https://trid.trb.org/View/2210380","survey",4,4,"N/A","A","Anchor survey for mixed traffic urban control","Use for field framing"
"Autonomous and Semi-Autonomous Intersection Management: A Survey",2020,"IEEE ITS Magazine / arXiv","https://arxiv.org/abs/2006.13133","survey",4,4,"N/A","A","AIM design taxonomy and benchmark issues","Use for intersection-management framing"
"Intersection control with connected and automated vehicles: a review",2022,"Journal of Intelligent and Connected Vehicles","https://www.emerald.com/jicv/article/5/3/260/225815","survey",3,4,"N/A","B","CAV intersection trajectory and joint control review","Use as background"
"Development of a signal-head-free intersection control logic in a fully connected and autonomous vehicle environment",2018,"Transportation Research Part C","https://trid.trb.org/View/1515880","pure method",4,4,4,"A","Fully CAV signal-free control baseline","Not mixed-traffic-focused"
"A consensus-based distributed trajectory control in a signal-free intersection",2019,"Transportation Research Part C","https://www.researchgate.net/publication/330639260_A_consensus-based_distributed_trajectory_control_in_a_signal-free_intersection","pure method",4,4,4,"A","Distributed signal-free CAV coordination","Close baseline family"
"Distributed Conflict Resolution for Connected Autonomous Vehicles",2018,"IEEE Transactions on Intelligent Vehicles","https://publications.ri.cmu.edu/distributed-conflict-resolution-for-connected-autonomous-vehicles","pure method",4,4,4,"A","Foundational conflict resolution","Close baseline family"
"Cooperative autonomous traffic organization method for connected automated vehicles in multi-intersection road networks",2020,"Transportation Research Part C","https://research.buaa.edu.cn/en/publications/cooperative-autonomous-traffic-organization-method-for-connected-/","pure method",4,4,4,"A","CAV conflict resolution plus trajectory and route planning","Strong Part C anchor"
"Connected autonomous vehicles for improving mixed traffic efficiency in unsignalized intersections with deep reinforcement learning",2021,"Communications in Transportation Research","https://research.chalmers.se/en/publication/530961","pure method",4,4,4,"A","Mixed-traffic unsignalized-intersection DRL","Close learning baseline"
"Managing Connected Automated Vehicles in Mixed Traffic Considering Communication Reliability: A Platooning Strategy",2020,"Transportation Research Procedia","https://repo.uni-hannover.de/items/c4be4149-10e2-4cff-a4b9-2efb78698861","pure method",3,3,3,"B","Mixed traffic and communication reliability","Support for V2X reliability"
"Group-benefit control strategy for connected automated vehicles in mixed traffic at intersections",2025,"Transportation Research Part C","https://trid.trb.org/View/2537024","pure method",4,4,4,"Risk","Recent Part C group-benefit mixed-traffic intersections","Deep read required"
"Safety-Critical Multi-Agent MCTS for Mixed Traffic Coordination at Unsignalized Intersections",2025,"IEEE Transactions on Intelligent Transportation Systems","https://arxiv.org/html/2509.01856v1","pure method",4,4,4,"Risk","Safety-critical mixed-traffic unsignalized coordination","Deep read required"
"Interactive control strategy of mixed traffic with connected and automated vehicles at unsignalized intersections: a double-layer framework",2026,"Transportmetrica B","https://www.tandfonline.com/doi/full/10.1080/21680566.2026.2652355","pure method",4,4,4,"Risk","Exact setting with double-layer control","Deep read required"
"A cooperative decision-making method for CAVs from the perspective of opinion dynamics",2026,"Transportation Research Part C","https://pure.bit.edu.cn/zh/publications/a-cooperative-decision-making-method-for-cavs-from-the-perspectiv/","pure method",5,5,5,"Risk","Right-of-way consensus and HDV intention prediction","Highest-risk closest work"
"A Game-Theoretic Framework of Interaction and Cooperative Driving for CAVs at Mixed Un-signalized Intersections",2026,"IEEE Internet of Things Journal","https://dblp.org/pid/224/2513.html","pure method",4,4,4,"Risk","Game-theoretic mixed unsignalized intersection framework","Deep read required"
"Cooperative multi-vehicle trajectory planning at unsignalized intersections under mixed traffic environment",2026,"Proceedings of the Institution of Mechanical Engineers Part D","https://journals.sagepub.com/doi/10.1177/09544070261435053","pure method",3,4,4,"B","Mixed-traffic trajectory planning and priority handling","Useful baseline/reference"
